address,system,unit,ladder,half-ladder,module,sensor,side,channel,time,charge
268537090,2,16,3,1,1,0,0,1548,95,7
268537922,2,4,4,1,1,0,0,1694,95,4
268540098,2,12,6,1,1,0,0,343,95,5
268541154,2,14,7,1,1,0,0,720,95,1
268566546,2,1,0,0,2,0,0,394,95,2
268566706,2,11,0,0,2,0,0,1160,95,9
268566738,2,13,0,0,2,0,0,810,95,5
268566770,2,15,0,0,2,0,0,100,95,2
268566770,2,15,0,0,2,0,0,573,95,7
268567554,2,0,1,0,2,0,0,674,95,2
268567762,2,13,1,0,2,0,0,633,95,5
268567794,2,15,1,0,2,0,0,441,95,5
268567826,2,17,1,0,2,0,0,1137,95,7
268568626,2,3,2,0,2,0,0,1529,95,5
268568642,2,4,2,0,2,0,0,1802,95,3
268569714,2,7,3,0,2,0,0,710,95,8
268570658,2,2,4,0,2,0,0,1689,95,31
268570658,2,2,4,0,2,0,0,1692,95,31
268570706,2,5,4,0,2,0,0,96,95,4
268572818,2,9,6,0,2,0,0,404,95,8
268599346,2,3,0,1,2,0,0,1336,95,1
268600338,2,1,1,1,2,0,0,645,95,4
268600402,2,5,1,1,2,0,0,51,95,3
268600498,2,11,1,1,2,0,0,1408,95,3
268601442,2,6,2,1,2,0,0,926,95,0
268602402,2,2,3,1,2,0,0,1017,95,0
268602546,2,11,3,1,2,0,0,317,95,23
268603426,2,2,4,1,2,0,0,1312,95,0
268603538,2,9,4,1,2,0,0,1828,95,8
268603618,2,14,4,1,2,0,0,1190,95,1
268632146,2,5,0,0,3,0,0,349,95,2
268632242,2,11,0,0,3,0,0,868,95,11
268632274,2,13,0,0,3,0,0,1148,95,2
268633106,2,1,1,0,3,0,0,499,95,0
268633250,2,10,1,0,3,0,0,1608,95,4
268633298,2,13,1,0,3,0,0,867,95,5
268634338,2,14,2,0,3,0,0,1197,95,6
268635186,2,3,3,0,3,0,0,445,95,6
268635186,2,3,3,0,3,0,0,1394,95,6
268635250,2,7,3,0,3,0,0,1383,95,2
268636306,2,9,4,0,3,0,0,588,95,1
268664834,2,0,0,1,3,0,0,1371,95,0
268664850,2,1,0,1,3,0,0,565,95,1
268665858,2,0,1,1,3,0,0,1840,95,0
268666130,2,17,1,1,3,0,0,142,95,0
268666130,2,17,1,1,3,0,0,1316,95,4
268666946,2,4,2,1,3,0,0,1529,95,2
268666978,2,6,2,1,3,0,0,348,95,5
268667074,2,12,2,1,3,0,0,436,95,1
268667090,2,13,2,1,3,0,0,1617,95,2
268669138,2,13,4,1,3,0,0,21,95,4
268670082,2,8,5,1,3,0,0,659,95,4
268670098,2,9,5,1,3,0,0,493,95,3
268670098,2,9,5,1,3,0,0,494,95,1
268671138,2,10,6,1,3,0,0,64,95,7
268700786,2,7,3,0,4,0,0,226,95,0
268700850,2,11,3,0,4,0,0,1003,95,5
268730418,2,3,0,1,4,0,0,548,95,1
268730482,2,7,0,1,4,0,0,1190,95,3
268731442,2,3,1,1,4,0,0,1970,95,1
268731602,2,13,1,1,4,0,0,340,95,2
268731618,2,14,1,1,4,0,0,1109,95,3
268733474,2,2,3,1,4,0,0,1363,95,4
268734546,2,5,4,1,4,0,0,336,95,4
